Targets: 13000 (skipped top 10000)
Files to modify: 23
Resuming from checkpoint: 0 already processed
Warming up Gemma...
Ready.
  4550/13000 ok=4549 fail=1 rate=0.41/s ETA=347m file=worldbank.jsonl
  4575/13000 ok=4574 fail=1 rate=0.41/s ETA=346m file=worldbank.jsonl
  4600/13000 ok=4599 fail=1 rate=0.41/s ETA=345m file=worldbank.jsonl
  4625/13000 ok=4624 fail=1 rate=0.41/s ETA=344m file=worldbank.jsonl
  4650/13000 ok=4649 fail=1 rate=0.41/s ETA=343m file=worldbank.jsonl
  4675/13000 ok=4674 fail=1 rate=0.41/s ETA=342m file=worldbank.jsonl
  4700/13000 ok=4699 fail=1 rate=0.41/s ETA=341m file=worldbank.jsonl
  4725/13000 ok=4724 fail=1 rate=0.41/s ETA=340m file=worldbank.jsonl
  4750/13000 ok=4749 fail=1 rate=0.41/s ETA=339m file=worldbank.jsonl
  4775/13000 ok=4774 fail=1 rate=0.41/s ETA=337m file=worldbank.jsonl
  4800/13000 ok=4799 fail=1 rate=0.41/s ETA=336m file=worldbank.jsonl
  4825/13000 ok=4824 fail=1 rate=0.41/s ETA=335m file=worldbank.jsonl
  4850/13000 ok=4849 fail=1 rate=0.41/s ETA=334m file=worldbank.jsonl
  4875/13000 ok=4874 fail=1 rate=0.41/s ETA=333m file=worldbank.jsonl
  4900/13000 ok=4899 fail=1 rate=0.41/s ETA=332m file=worldbank.jsonl
  4925/13000 ok=4924 fail=1 rate=0.41/s ETA=331m file=worldbank.jsonl
  4950/13000 ok=4949 fail=1 rate=0.41/s ETA=330m file=worldbank.jsonl
  4975/13000 ok=4974 fail=1 rate=0.41/s ETA=329m file=worldbank.jsonl
  5000/13000 ok=4999 fail=1 rate=0.41/s ETA=328m file=worldbank.jsonl
  5025/13000 ok=5024 fail=1 rate=0.41/s ETA=327m file=worldbank.jsonl
  5050/13000 ok=5049 fail=1 rate=0.41/s ETA=325m file=worldbank.jsonl
  5075/13000 ok=5074 fail=1 rate=0.41/s ETA=325m file=worldbank.jsonl
  5100/13000 ok=5099 fail=1 rate=0.41/s ETA=324m file=worldbank.jsonl
  5125/13000 ok=5124 fail=1 rate=0.41/s ETA=322m file=worldbank.jsonl
  5150/13000 ok=5149 fail=1 rate=0.41/s ETA=321m file=worldbank.jsonl
  5175/13000 ok=5174 fail=1 rate=0.41/s ETA=320m file=worldbank.jsonl
  5200/13000 ok=5199 fail=1 rate=0.41/s ETA=319m file=worldbank.jsonl
  5225/13000 ok=5224 fail=1 rate=0.41/s ETA=318m file=worldbank.jsonl
  5250/13000 ok=5249 fail=1 rate=0.41/s ETA=317m file=worldbank.jsonl
  5275/13000 ok=5274 fail=1 rate=0.41/s ETA=316m file=worldbank.jsonl
  5300/13000 ok=5299 fail=1 rate=0.41/s ETA=315m file=worldbank.jsonl
  5325/13000 ok=5324 fail=1 rate=0.41/s ETA=314m file=worldbank.jsonl
  5350/13000 ok=5349 fail=1 rate=0.41/s ETA=313m file=worldbank.jsonl
  5375/13000 ok=5374 fail=1 rate=0.41/s ETA=312m file=worldbank.jsonl
  5400/13000 ok=5399 fail=1 rate=0.41/s ETA=311m file=worldbank.jsonl
  5425/13000 ok=5424 fail=1 rate=0.41/s ETA=310m file=worldbank.jsonl
  5450/13000 ok=5449 fail=1 rate=0.41/s ETA=309m file=worldbank.jsonl
  5475/13000 ok=5474 fail=1 rate=0.41/s ETA=308m file=worldbank.jsonl
  5500/13000 ok=5499 fail=1 rate=0.41/s ETA=307m file=worldbank.jsonl
  5525/13000 ok=5524 fail=1 rate=0.41/s ETA=306m file=worldbank.jsonl
  5550/13000 ok=5549 fail=1 rate=0.41/s ETA=305m file=worldbank.jsonl
  5575/13000 ok=5574 fail=1 rate=0.41/s ETA=304m file=worldbank.jsonl
  5600/13000 ok=5599 fail=1 rate=0.41/s ETA=302m file=worldbank.jsonl
  5625/13000 ok=5624 fail=1 rate=0.41/s ETA=301m file=worldbank.jsonl
  5650/13000 ok=5649 fail=1 rate=0.41/s ETA=300m file=worldbank.jsonl
  5675/13000 ok=5674 fail=1 rate=0.41/s ETA=299m file=worldbank.jsonl
  5700/13000 ok=5699 fail=1 rate=0.41/s ETA=298m file=worldbank.jsonl
  5725/13000 ok=5724 fail=1 rate=0.41/s ETA=297m file=worldbank.jsonl
  5750/13000 ok=5749 fail=1 rate=0.41/s ETA=296m file=worldbank.jsonl
  5775/13000 ok=5774 fail=1 rate=0.41/s ETA=295m file=worldbank.jsonl
  5800/13000 ok=5799 fail=1 rate=0.41/s ETA=294m file=worldbank.jsonl
  5825/13000 ok=5824 fail=1 rate=0.41/s ETA=293m file=worldbank.jsonl
  5850/13000 ok=5849 fail=1 rate=0.41/s ETA=292m file=worldbank.jsonl
  5875/13000 ok=5874 fail=1 rate=0.41/s ETA=291m file=worldbank.jsonl
  5900/13000 ok=5899 fail=1 rate=0.41/s ETA=290m file=worldbank.jsonl
  5925/13000 ok=5924 fail=1 rate=0.41/s ETA=289m file=worldbank.jsonl
  5950/13000 ok=5949 fail=1 rate=0.41/s ETA=288m file=worldbank.jsonl
  5975/13000 ok=5974 fail=1 rate=0.41/s ETA=287m file=worldbank.jsonl
  6000/13000 ok=5999 fail=1 rate=0.41/s ETA=286m file=worldbank.jsonl
  6025/13000 ok=6024 fail=1 rate=0.41/s ETA=285m file=worldbank.jsonl
  6050/13000 ok=6049 fail=1 rate=0.41/s ETA=284m file=worldbank.jsonl
  6075/13000 ok=6074 fail=1 rate=0.41/s ETA=283m file=worldbank.jsonl
  6100/13000 ok=6099 fail=1 rate=0.41/s ETA=282m file=worldbank.jsonl
  6125/13000 ok=6124 fail=1 rate=0.41/s ETA=281m file=worldbank.jsonl
  6150/13000 ok=6149 fail=1 rate=0.41/s ETA=280m file=worldbank.jsonl
  6175/13000 ok=6174 fail=1 rate=0.41/s ETA=279m file=worldbank.jsonl
  6200/13000 ok=6199 fail=1 rate=0.41/s ETA=278m file=worldbank.jsonl
  6225/13000 ok=6224 fail=1 rate=0.41/s ETA=277m file=worldbank.jsonl
  6250/13000 ok=6249 fail=1 rate=0.41/s ETA=276m file=worldbank.jsonl
  6275/13000 ok=6274 fail=1 rate=0.41/s ETA=275m file=worldbank.jsonl
  6300/13000 ok=6299 fail=1 rate=0.41/s ETA=274m file=worldbank.jsonl
  6325/13000 ok=6324 fail=1 rate=0.41/s ETA=273m file=worldbank.jsonl
  6350/13000 ok=6349 fail=1 rate=0.41/s ETA=272m file=worldbank.jsonl
  6375/13000 ok=6374 fail=1 rate=0.41/s ETA=270m file=worldbank.jsonl
  6400/13000 ok=6399 fail=1 rate=0.41/s ETA=269m file=worldbank.jsonl
  6425/13000 ok=6424 fail=1 rate=0.41/s ETA=268m file=worldbank.jsonl
  6450/13000 ok=6449 fail=1 rate=0.41/s ETA=267m file=worldbank.jsonl
  6475/13000 ok=6474 fail=1 rate=0.41/s ETA=266m file=la-controller.jsonl
  6500/13000 ok=6499 fail=1 rate=0.41/s ETA=265m file=maryland-internal.jsonl
  6525/13000 ok=6524 fail=1 rate=0.41/s ETA=264m file=maryland-internal.jsonl
  6550/13000 ok=6549 fail=1 rate=0.41/s ETA=263m file=maryland-internal.jsonl
  6575/13000 ok=6574 fail=1 rate=0.41/s ETA=262m file=maryland-internal.jsonl
  6600/13000 ok=6599 fail=1 rate=0.41/s ETA=261m file=maryland-internal.jsonl
  6625/13000 ok=6624 fail=1 rate=0.41/s ETA=260m file=maryland-internal.jsonl
  6650/13000 ok=6649 fail=1 rate=0.41/s ETA=259m file=maryland-internal.jsonl
  6675/13000 ok=6674 fail=1 rate=0.41/s ETA=258m file=maryland-internal.jsonl
  6700/13000 ok=6699 fail=1 rate=0.41/s ETA=257m file=maryland-internal.jsonl
  6725/13000 ok=6724 fail=1 rate=0.41/s ETA=256m file=maryland-internal.jsonl
  6750/13000 ok=6749 fail=1 rate=0.41/s ETA=255m file=maryland-internal.jsonl
  6775/13000 ok=6774 fail=1 rate=0.41/s ETA=254m file=maryland-internal.jsonl
  6800/13000 ok=6799 fail=1 rate=0.41/s ETA=253m file=maryland-internal.jsonl
  6825/13000 ok=6824 fail=1 rate=0.41/s ETA=252m file=maryland-internal.jsonl
  6850/13000 ok=6849 fail=1 rate=0.41/s ETA=251m file=maryland-internal.jsonl
  6875/13000 ok=6874 fail=1 rate=0.41/s ETA=250m file=maryland-internal.jsonl
  6900/13000 ok=6899 fail=1 rate=0.41/s ETA=249m file=maryland-internal.jsonl
  6925/13000 ok=6924 fail=1 rate=0.41/s ETA=248m file=maryland-internal.jsonl
  6950/13000 ok=6949 fail=1 rate=0.41/s ETA=247m file=maryland-internal.jsonl
  6975/13000 ok=6974 fail=1 rate=0.41/s ETA=246m file=maryland-internal.jsonl
  7000/13000 ok=6999 fail=1 rate=0.41/s ETA=245m file=maryland-internal.jsonl
  7025/13000 ok=7024 fail=1 rate=0.41/s ETA=243m file=maryland-internal.jsonl
  7050/13000 ok=7049 fail=1 rate=0.41/s ETA=242m file=maryland-internal.jsonl
  7075/13000 ok=7074 fail=1 rate=0.41/s ETA=241m file=maryland-internal.jsonl
  7100/13000 ok=7099 fail=1 rate=0.41/s ETA=240m file=maryland-internal.jsonl
  7125/13000 ok=7124 fail=1 rate=0.41/s ETA=239m file=maryland-internal.jsonl
  7150/13000 ok=7149 fail=1 rate=0.41/s ETA=238m file=maryland-internal.jsonl
  7175/13000 ok=7174 fail=1 rate=0.41/s ETA=237m file=maryland-internal.jsonl
  7200/13000 ok=7199 fail=1 rate=0.41/s ETA=236m file=maryland-internal.jsonl
  7225/13000 ok=7224 fail=1 rate=0.41/s ETA=235m file=maryland-internal.jsonl
  7250/13000 ok=7249 fail=1 rate=0.41/s ETA=234m file=ny-health.jsonl
  7275/13000 ok=7274 fail=1 rate=0.41/s ETA=233m file=ny-health.jsonl
  7300/13000 ok=7299 fail=1 rate=0.41/s ETA=232m file=ny-health.jsonl
  7325/13000 ok=7324 fail=1 rate=0.41/s ETA=231m file=ny-health.jsonl
  7350/13000 ok=7349 fail=1 rate=0.41/s ETA=230m file=ny-health.jsonl
  7375/13000 ok=7374 fail=1 rate=0.41/s ETA=229m file=ny-health.jsonl
  7400/13000 ok=7399 fail=1 rate=0.41/s ETA=228m file=ny-health.jsonl
  7425/13000 ok=7424 fail=1 rate=0.41/s ETA=227m file=ny-health.jsonl
  7450/13000 ok=7449 fail=1 rate=0.41/s ETA=226m file=us-federal-bts.jsonl
  7475/13000 ok=7474 fail=1 rate=0.41/s ETA=225m file=us-federal-bts.jsonl
  7500/13000 ok=7499 fail=1 rate=0.41/s ETA=224m file=us-federal-cdc.jsonl
  7525/13000 ok=7524 fail=1 rate=0.41/s ETA=223m file=us-federal-cdc.jsonl
  7550/13000 ok=7549 fail=1 rate=0.41/s ETA=222m file=us-federal-cdc.jsonl
  7575/13000 ok=7574 fail=1 rate=0.41/s ETA=221m file=us-federal-cdc.jsonl
  7600/13000 ok=7599 fail=1 rate=0.41/s ETA=220m file=us-federal-cdc.jsonl
  7625/13000 ok=7624 fail=1 rate=0.41/s ETA=219m file=us-federal-cdc.jsonl
  7650/13000 ok=7649 fail=1 rate=0.41/s ETA=218m file=us-federal-cdc.jsonl
  7675/13000 ok=7674 fail=1 rate=0.41/s ETA=217m file=us-federal-cdc.jsonl
  7700/13000 ok=7699 fail=1 rate=0.41/s ETA=216m file=us-federal-cdc.jsonl
  7725/13000 ok=7724 fail=1 rate=0.41/s ETA=215m file=us-federal-cdc.jsonl
  7750/13000 ok=7749 fail=1 rate=0.41/s ETA=214m file=us-federal-cdc.jsonl
  7775/13000 ok=7774 fail=1 rate=0.41/s ETA=213m file=us-federal-cdc.jsonl
