[5151] Gross Ext. Debt Pmt, Other Sectors, More than 6 to 9, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5152] Gross Ext. Debt Pmt, Other Sectors, Immediate, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5177] CB, bonds (AMT, current US$) | pub=World Bank | desc: Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally th | cols: country, date, value, indicator
[5199] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 0 to 3 mo., All instruments, Princip | pub=World Bank | cols: country, date, value, indicator
[5200] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 3yrs, All instruments, Principal, US | pub=World Bank | cols: country, date, value, indicator
[5201] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 3 to 6 mo., All instruments, Princip | pub=World Bank | cols: country, date, value, indicator
[5202] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 4yrs, All instruments, Principal, US | pub=World Bank | cols: country, date, value, indicator
[5203] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 5 to 10 yrs, All instruments, Princi | pub=World Bank | cols: country, date, value, indicator
[5204] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 5yrs, All instruments, Principal, US | pub=World Bank | cols: country, date, value, indicator
[5205] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 6 to 9 mo., All instruments, Princip | pub=World Bank | cols: country, date, value, indicator
[5206] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 9 to 12 mo., All instruments, Princi | pub=World Bank | cols: country, date, value, indicator
[5207] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 10 to 15 yrs, All instruments, Princ | pub=World Bank | cols: country, date, value, indicator
[5208] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 12 to 18 mo., All instruments, Princ | pub=World Bank | cols: country, date, value, indicator
[5209] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, More than15yrs, All instruments, Pri | pub=World Bank | cols: country, date, value, indicator
[5210] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 18 to 24 mo., All instruments, Princ | pub=World Bank | cols: country, date, value, indicator
