[1658] H5N1 influenza - number of reported cases | pub=WHO | desc: H5N1 influenza - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1662] Compliance with international health regulations | pub=WHO | desc: Compliance with international health regulations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1664] Tuberculosis detection and treatment | pub=WHO | desc: Tuberculosis detection and treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1665] UV radiation | pub=WHO | desc: UV radiation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1670] 15-19 years old, current drinkers (%) | pub=WHO | desc: 15-19 years old, current drinkers (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1674] Legislation on alcohol testing at workplaces | pub=WHO | desc: Legislation on alcohol testing at workplaces | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1675] Standard drink defined | pub=WHO | desc: Standard drink defined | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1686] 15-19 years old abstainers, lifetime (%) | pub=WHO | desc: 15-19 years old abstainers, lifetime (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1687] 15-19 years old abstainers, lifetime (%) | pub=WHO | desc: 15-19 years old abstainers, lifetime (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1688] 15-19 years old, current drinkers (%) | pub=WHO | desc: 15-19 years old, current drinkers (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1693] Bullied, past 30 days (%) | pub=WHO | desc: Bullied, past 30 days (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1696] Action Plan for implementation of alcohol policy | pub=WHO | desc: Action Plan for implementation of alcohol policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1706] Radiotherapy units (per 1 000 000 population) | pub=WHO | desc: Radiotherapy units (per 1 000 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1707] Hospital beds (per 10 000 population) | pub=WHO | desc: Hospital beds (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1725] Regular reports from national monitoring systems | pub=WHO | desc: Regular reports from national monitoring systems | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1727] Clinical guidelines for brief interventions | pub=WHO | desc: Clinical guidelines for brief interventions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1728] Clinical guidelines for brief interventions | pub=WHO | desc: Clinical guidelines for brief interventions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1729] National surveys on adult alcohol consumption | pub=WHO | desc: National surveys on adult alcohol consumption | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1730] National surveys on heavy espisodic drinking | pub=WHO | desc: National surveys on heavy espisodic drinking | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1731] Data collected on harm from alcohol at workplace | pub=WHO | desc: Data collected on harm from alcohol at workplace | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1732] Data collected on harm from alcohol at workplace | pub=WHO | desc: Data collected on harm from alcohol at workplace | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1741] National drinking guidelines | pub=WHO | desc: National drinking guidelines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1742] Graduated licensing | pub=WHO | desc: Graduated licensing | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1743] Penalties for drink driving, repeated offense | pub=WHO | desc: Penalties for drink driving, repeated offense | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1745] Licenses issued for production, change since 2010 | pub=WHO | desc: Licenses issued for production, change since 2010 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1746] Ban on deceitful terms on cigarette packaging | pub=WHO | desc: Ban on deceitful terms on cigarette packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1751] Legislation on alcohol testing at workplaces | pub=WHO | desc: Legislation on alcohol testing at workplaces | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1755] Level of enforcement of BAC limits | pub=WHO | desc: Level of enforcement of BAC limits | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1762] 13-15-years old first drink before age 14, (%) | pub=WHO | desc: 13-15-years old first drink before age 14, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1765] 15-19 years old former drinkers (%) | pub=WHO | desc: 15-19 years old former drinkers (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1766] 15-19 years old former drinkers (%) | pub=WHO | desc: 15-19 years old former drinkers (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
