[1988] Treatment history unknown | pub=WHO | desc: Treatment history unknown | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1989] Relapse cases: Pulmonary, clinically diagnosed | pub=WHO | desc: Relapse cases: Pulmonary, clinically diagnosed | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1990] Confirmed cases of RR-/MDR-TB | pub=WHO | desc: Confirmed cases of RR-/MDR-TB | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1991] Total fertility rate (per woman) | pub=WHO | desc: Total fertility rate (per woman) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1992] Fines on the establishment | pub=WHO | desc: Fines on the establishment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1993] Monopoly on exports of alcoholic beverages | pub=WHO | desc: Monopoly on exports of alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1994] Health warning labels on drink-driving | pub=WHO | desc: Health warning labels on drink-driving | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1997] Taxation of ethanol production | pub=WHO | desc: Taxation of ethanol production | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2001] Number of diarrhoea DALYs from inadequate hygiene | pub=WHO | desc: Number of diarrhoea DALYs from inadequate hygiene | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2009] Completeness of cause-of-death data (%) | pub=WHO | desc: Completeness of cause-of-death data (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2015] Wasting prevalence in children aged < 3 years (%) | pub=WHO | desc: Wasting prevalence in children aged < 3 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2016] Healthy life expectancy (HALE) at birth (years) | pub=WHO | desc: Healthy life expectancy (HALE) at birth (years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2017] Low-birth-weight newborns (%) | pub=WHO | desc: Low-birth-weight newborns (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2018] Children aged <5 years overweight (%) | pub=WHO | desc: Children aged <5 years overweight (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2035] Existence of national regulation | pub=WHO | desc: Existence of national regulation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2036] Safety requirements | pub=WHO | desc: Safety requirements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2038] Tuberculosis effective treatment coverage (%) | pub=WHO | desc: Tuberculosis effective treatment coverage (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2039] TB patients with known HIV status (%) | pub=WHO | desc: TB patients with known HIV status (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2042] New cases: Pulmonary, smear-positive | pub=WHO | desc: New cases: Pulmonary, smear-positive | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2043] Previously treated  cases, excluding relapse | pub=WHO | desc: Previously treated  cases, excluding relapse | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2044] Relapse cases (pre-2013 definition) | pub=WHO | desc: Relapse cases (pre-2013 definition) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
