[3134] Cul de Sac Points_.25K | pub=State of Utah | cols: the_geom, LAST_EDITED_DATE, GLOBALID, CREATED_DATE, Last Update Date, OBJECTID, CREATED_USER, VISIBLE, Last Editor, LAST_EDITED_USER
[3135] Backstop | pub=State of Utah | cols: Location, BackstopId, Conveyerbelt, Shape.STLength(), the_geom, Type, OBJECTID, Address, Overhang, AssetID
[3137] Parcels 2006_data | pub=State of Utah | cols: SUB_NAME, OWNER_TYPE, OBJECTID_1, HOUSE_DIR, ACCOUNT, ADDRESS, SHAPE.STArea(), TAX_ID, OBJECTID, SHAPE.STLength()
[3138] Air Vac | pub=State of Utah | cols: created_user, GPS Date, Enabled, rotation, last_edited_user, created_date, FACILITYID, the_geom, last_edited_date, typecode
[3140] Loaders | pub=State of Utah | cols: isOn, vin, deviceId, the_geom, speed, bearing, OBJECTID, name, serialNumber, odometer
[3141] Deed points~.5K | pub=State of Utah | cols: TYPE, Book & Page, CREATED_USER, SCALE, CREATED_DATE, GLOBALID, MAP#, DOC_ENTRY, Parcel Identification Number, the_geom
[3143] Accidents | pub=State of Utah | cols: LAST_EDITED_USER, GLOBALID, CITIES, DATE_, LAST_EDITED_DATE, TRAIN, MODIFIEDON, the_geom, CREATED_DATE, OBJECTID
[3145] Communities | pub=State of Utah | cols: Total_HH, the_geom, HOME_PHONE2, EMERGENCY_PREPAREDNESS_LEADER2, HOME_EMAIL2, LINK, DISPLAY_PHONE, Date_Updated, CELL_PHONE2, Total_Pop
[3146] Parcels | pub=State of Utah | cols: LAST_EDITED_DATE, GLOBALID, CREATED_USER, Book & Page, CREATED_DATE, OBJECTID, LAST_EDITED_USER, SOURCE, SHAPE.AREA, SHAPE.LEN
[3147] Parcel Lines | pub=State of Utah | cols: CREATED_USER, LAST_EDITED_USER, LASTUPDATE, ALPHATAG, COGO Tangent, SHAPE_Length, COGO Delta, Parcel ID Number, HAS_SELECTED_TAG, DUPS
[3148] Open Work Orders | pub=State of Utah | cols: Action Added By, the_geom, GLOBALID, Date Added, Severity, Segment ID, Last Update Date, Latitude, Resolved By, Work Order Comments
[3150] Deed points~4K | pub=State of Utah | cols: ANGLE, ParcelID Label, SCALE, GLOBALID, MAP#, DOC_OWNER, CREATED_DATE, the_geom, Book & Page, OBJECTID
[3151] Deed points~.5K | pub=State of Utah | cols: the_geom, ANGLE, ParcelID Label, SCALE, Book & Page, LAST_EDITED_USER, Parcel Identification Number, MAP#, TYPE, CREATED_USER
[3152] At-large | pub=State of Utah | cols: the_geom, OBJECTID, Shape.area, Shape.len, Name, Link_to_Bio, Council_Member, City_Counc, Link_to_Photo
[3153] Trail_18K | pub=State of Utah | desc: Polygon features representing waterbodies. | cols: GLOBALID, SHAPE_Length, Last Update Date, X Country Skiing Allowed, GWT, Owned By, Condition, CREATED_DATE, Cycling Allowed, Motorized Vehicles Allowed
