[5736] Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities , Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5737] Ext. Assets in Debt Instruments, Other Sectors, Long-term, Other debt instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5738] Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5739] Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5740] Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5741] Net Ext. Debt Position, Other Sectors, Long-term, Other debt instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5742] Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities , Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5743] Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5744] Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities , Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5745] Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[5746] Gross Ext. Debt Pos., General Government, Long-term, Special drawing rights (allocations), Beginning | pub=World Bank | cols: country, date, value, indicator
[5747] Ext. Assets in Debt Instruments, General Government, Long-term, Special drawing rights (SDRs), USD | pub=World Bank | cols: country, date, value, indicator
