[3961] Fire Hydrant | pub=State of Utah | cols: HYD_ID, VDEPTH, created_date, THIRTYPSIFLOW, last_edited_date, AssetStatus, TWENTYPSIFLOW, STATICPRESSURE, INSPDATE, GlobalID
[3962] Subdivision | pub=State of Utah | cols: SLCO_Rec_Numb, OBJECTID, SLCO_Book_Page, Acres, Last_Action, Easements_Digitized, Lots, Georeferenced_Plat, Final_Approval, Full_Name
[3964] Trailheads | pub=State of Utah | cols: the_geom, TRAIL, OBJECTID, NAME
[3965] Sandy.Border_Solid | pub=State of Utah | cols: CITY_CODE, CITY, Shape.area, the_geom, Shape.len, OBJECTID
[3966] Outfalls | pub=State of Utah | cols: Pipe Material, Elevation, MaintRating, created_user, Type, FacilityID, Location, Enabled, Northing, Easting
[3967] North Dry Creek Pressurized | pub=State of Utah | cols: NAME, the_geom, GlobalID, OBJECTID, SIZE, created_user, created_date, HasAttachment, last_edited_date, Shape.len
[3969] Centerlines | pub=State of Utah | cols: S_ACCESS, LOW, PRE_DIR, FS_ZONE, SPEED_LIMIT, SOURCE, fromright, fromleft, S_DATE, DATA_DATE
[3970] CountyRoads_RRAMS~.5k | pub=State of Utah | cols: Dir From POB, Road Class, Inspection Comments, Concrete: Pumping (Rocking Panels) Severity, Asph/Chip: Edge Crack Density, Avg TCI for Project ID, Concrete: Cracked Panels (Meander Cracks) Density, Segment ID, Road Base Thickness, Right Drainage Comments
[3973] Cul de Sac Points | pub=State of Utah | cols: OBJECTID, CREATED_DATE, Last Editor, LAST_EDITED_USER, GLOBALID, Last Update Date, LAST_EDITED_DATE, VISIBLE, the_geom, CREATED_USER
[3974] Separator | pub=State of Utah | cols: INVERT4, INVERT_OUT, EASTING, Comments, Type, PIPE_TYPE, Last Inspection Date, OWNERSHIP, GlobalID, LOCATION
[3975] MAIN.MapperAreas | pub=State of Utah | cols: TOWNSHIP, SECTION, the_geom, EXT, GLOBALID, Mapper_Name, RANGE, BOOK, SHAPE.LEN, Group
[3976] CountyBoundary_label_9K | pub=State of Utah | desc: The geographic extent of a County | cols: the_geom, DATASOURCENAME, RailroadName, SOURCEFEATUREID, OBJECTID, CREATEDON, CREATED_DATE, State County FIPS, Last Editor, ISVISIBLE
