[5474] SITLA Active Oil and Gas Contracts_data | pub=State of Utah | cols: Administrator, expiredt, Lessee, nbr, Lease Acres, begindt, sufix, Gaseous_Helium_RoyRt, Shape.STArea(), the_geom
[5475] Community Center_data | pub=State of Utah | cols: Website, Owner Name, Description, Location Type, Facility Area, OBJECTID, Phone, Operational Hours, Operational Days, Contact Name
[5476] LiDAR2011_1m_GSL_Tooele_DEM_Tiles_data | pub=State of Utah | cols: SIZE, EXT, WORLDFILE, DATE, METADATA, the_geom, PATH, OBJECTID, Shape_Length, Shape_Area
[5477] Schools | pub=State of Utah | cols: RuleID_80, Shape.area, Detail_Usage_Type, CopyID, TYPE, Notes, OBJECTID, Sources, Usage_Type, Ownership_Type
[5479] Borders | pub=State of Utah | cols: Shape.area, City, Label, OBJECTID, the_geom, Sq_Miles, Shape.len
[5480] Santaquin Zoning | pub=State of Utah | cols: ZONEDESC, EDITCOMMENTS, ZONING TYPE, DATASOURCENAME, ISVISIBLE, OBJECTID, the_geom, DOCUMENT DATE, LASTEDITOR, ZONECLASS
[5481] Cul de Sac Points_4K | pub=State of Utah | desc: Shields Designating Highways | cols: CREATED_USER, CREATED_DATE, LAST_EDITED_DATE, the_geom, Last Editor, GLOBALID, Last Update Date, VISIBLE, OBJECTID, LAST_EDITED_USER
[5482] Border_Outlines | pub=State of Utah | cols: the_geom, Sq_Miles, City, Shape.area, Label, Shape.len, OBJECTID
[5483] Lots and 1/16th lines_data | pub=State of Utah | cols: the_geom, OBJECTID, GlobalID, Shape.STLength()
[5485] Sensitive Overlay Zone | pub=State of Utah | cols: Shape.len, Shape.area, OBJECTID, the_geom
