[427] Representativeness of survey of youth - smokeless | pub=WHO | desc: Representativeness of survey of youth - smokeless | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[428] Name of survey of adults | pub=WHO | desc: Name of survey of adults | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[429] Representativeness of youth survey | pub=WHO | desc: Representativeness of youth survey | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[430] Year of latest adult prevalence survey | pub=WHO | desc: Year of latest adult prevalence survey | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[431] Estimated number of malaria deaths | pub=WHO | desc: Estimated number of malaria deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[437] Deaths due to malaria (per 100 000 population) | pub=WHO | desc: Deaths due to malaria (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[440] Tuberculosis detection rate under DOTS (%) | pub=WHO | desc: Tuberculosis detection rate under DOTS (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[441] Births attended by skilled health personnel (%) | pub=WHO | desc: Births attended by skilled health personnel (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[445] Physiotherapists (number) | pub=WHO | desc: Physiotherapists (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[446] Physiotherapy Technicians and Assistants  (number) | pub=WHO | desc: Physiotherapy Technicians and Assistants  (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[447] Handwashing with soap after using the toilet (%) | pub=WHO | desc: Handwashing with soap after using the toilet (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[448] Legislation | pub=WHO | desc: Legislation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[449] Response | pub=WHO | desc: Response | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[450] Zoonosis | pub=WHO | desc: Zoonosis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[463] Prevalence of HIV among adults aged 15 to 49 (%) | pub=WHO | desc: Prevalence of HIV among adults aged 15 to 49 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[465] Existence of dementia representative in ministry | pub=WHO | desc: Existence of dementia representative in ministry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[466] Dementia integrated into other national plan | pub=WHO | desc: Dementia integrated into other national plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[472] Existence of dementia national plan | pub=WHO | desc: Existence of dementia national plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[473] Availability of funding for dementia national plan | pub=WHO | desc: Availability of funding for dementia national plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[483] Inclusion of dementia in ministry portfolio | pub=WHO | desc: Inclusion of dementia in ministry portfolio | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[486] Ban on advertising: Local magazines and newspapers | pub=WHO | desc: Ban on advertising: Local magazines and newspapers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[487] Complete ban on tobacco vending machines | pub=WHO | desc: Complete ban on tobacco vending machines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[488] Ban on internet sales of tobacco products | pub=WHO | desc: Ban on internet sales of tobacco products | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[494] Ban on advertising: Point of sale | pub=WHO | desc: Ban on advertising: Point of sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[497] Compliance with bans on promotion and sponsorship | pub=WHO | desc: Compliance with bans on promotion and sponsorship | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[499] Number of neonatal deaths | pub=WHO | desc: Number of neonatal deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[509] ICT Development Index (IDI) rank | pub=WHO | desc: ICT Development Index (IDI) rank | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[511] Lead attributable deaths | pub=WHO | desc: Lead attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[513] Youth indicator 1 definition | pub=WHO | desc: Youth indicator 1 definition | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[514] DTP3 immunization coverage among one-year-olds (%) | pub=WHO | desc: DTP3 immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[521] Existence of dementia legislation | pub=WHO | desc: Existence of dementia legislation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[523] Number of pigs in the country | pub=WHO | desc: Number of pigs in the country | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[524] Status of yaws endemicity | pub=WHO | desc: Status of yaws endemicity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[525] Early initiation of breastfeeding (%) | pub=WHO | desc: Early initiation of breastfeeding (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
