[1953] Compliance with ban on indentifying non-tobacco products with tobacco brand names (score) | pub=WHO | desc: Compliance with ban on indentifying non-tobacco products with tobacco brand names (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1954] Country Cooperation Strategy Priorities by groups (%) | pub=WHO | desc: Country Cooperation Strategy Priorities by groups (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1955] General availability of diabetic retinopathy screening in the public health system | pub=WHO | desc: General availability of diabetic retinopathy screening in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1956] Number of women of reproductive age (aged 15-49 years) with anaemia (thousands) | pub=WHO | desc: Number of women of reproductive age (aged 15-49 years) with anaemia (thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1957] Estimate of current cigarette smoking prevalence (%) (age-standardized) | pub=WHO | desc: Estimate of current cigarette smoking prevalence (%) (age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1958] In-prison people who have BMI >= 30 (number of prisoners who are obese) | pub=WHO | desc: In-prison people who have BMI >= 30 (number of prisoners who are obese) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1959] Prevalence of bacteriologically-confirmed pulmonary TB who are smear positive among those aged ≥15 y | pub=WHO | desc: Prevalence of bacteriologically-confirmed pulmonary TB who are smear positive among those aged ≥15 years, per 100,000 population by sex. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1960] Uniform or tiered excise tax system applied on non-alcoholic beverage | pub=WHO | desc: Uniform or tiered excise tax system applied on non-alcoholic beverage | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1961] Tobacco Monitor: school-based national surveys, smokeless tobacco or e-cigarettes, prevalence | pub=WHO | desc: Tobacco Monitor: school-based national surveys, smokeless tobacco or e-cigarettes, prevalence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1962] Years of life lost caused by hazards, aged 5 years and above | pub=WHO | desc: Years of life lost caused by hazards, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1963] Existence of a national target on physical inactivity | pub=WHO | desc: Existence of a national target on physical inactivity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
