[373] Increase in poverty gap  due to household  health expenditures at the $1.90 a day poverty line, in c | pub=WHO | desc: Increase in poverty gap  due to household  health expenditures at the $1.90 a day poverty line, in cents of international dollars | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[374] Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.9 | pub=WHO | desc: Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[375] Availability of estimates on impoverishment due to out-of-pocket health expenditures | pub=WHO | desc: Availability of estimates on impoverishment due to out-of-pocket health expenditures | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[376] Availability of at least one anti-dementia medication approved for on-label use reimbursement | pub=WHO | desc: Availability of at least one anti-dementia medication approved for on-label use reimbursement | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[377] Percentage of health-care facilities with no access to any electricity supply (%) | pub=WHO | desc: Percentage of health-care facilities with no access to any electricity supply (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[378] Reported number of children receiving antiretroviral therapy | pub=WHO | desc: Reported number of children receiving antiretroviral therapy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[379] Reported number of children receiving antiretroviral therapy, month and year of report | pub=WHO | desc: Reported number of children receiving antiretroviral therapy, month and year of report | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[380] Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to- | pub=WHO | desc: Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[381] Estimated number of children needing antiretroviral therapy based on WHO methods | pub=WHO | desc: Estimated number of children needing antiretroviral therapy based on WHO methods | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[382] Estimated antiretroviral therapy coverage among children | pub=WHO | desc: Estimated antiretroviral therapy coverage among children | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[383] Estimated antiretroviral therapy coverage among people living with HIV (%) | pub=WHO | desc: Estimated antiretroviral therapy coverage among people living with HIV (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[384] Availability of atleast one housing adjustment for people with dementia | pub=WHO | desc: Availability of atleast one housing adjustment for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[385] Dementia nongovernmental organization equipped with office | pub=WHO | desc: Dementia nongovernmental organization equipped with office | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[386] Mental health units in general hospitals admissions (per 100,000) | pub=WHO | desc: Mental health units in general hospitals admissions (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[387] Government expenditures on mental hospitals as a percentage of total government expenditures on ment | pub=WHO | desc: Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[388] Psychiatrists working in mental health sector (per 100,000) | pub=WHO | desc: Psychiatrists working in mental health sector (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[389] Household air pollution attributable deaths per 100'000 capita | pub=WHO | desc: Household air pollution attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[390] Household air pollution  attributable deaths per 100'000 children under 5 years | pub=WHO | desc: Household air pollution  attributable deaths per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[391] Household air pollution attributable DALYs (per 100 000 population) | pub=WHO | desc: Household air pollution attributable DALYs (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[392] Percent of urban inhabitants living in cities covered by PM measurements | pub=WHO | desc: Percent of urban inhabitants living in cities covered by PM measurements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[393] Household air pollution attributable DALYs (per 100 000, age-standardized) | pub=WHO | desc: Household air pollution attributable DALYs (per 100 000, age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[394] DALYs attributable to ambient air pollution (age-standardized) | pub=WHO | desc: DALYs attributable to ambient air pollution (age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[395] Household and ambient air pollution attributable DALYs (per 100 000 capita) | pub=WHO | desc: Household and ambient air pollution attributable DALYs (per 100 000 capita) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[396] Ambient air pollution attributable DALYs  in children under 5 years | pub=WHO | desc: Ambient air pollution attributable DALYs  in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[397] Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized) | pub=WHO | desc: Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[398] Status of National coordination center establishment | pub=WHO | desc: Status of National coordination center establishment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[399] Status of National plans to implement and strengthen antimicrobial surveillance | pub=WHO | desc: Status of National plans to implement and strengthen antimicrobial surveillance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
