[9548] Average per capita transfer held by 5th quintile (richest) - Domestic Private Transfers -rural | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9549] Average per capita transfer held by 5th quintile (richest) - Domestic Private Transfers | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9550] Average per capita transfer held by 5th quintile (richest) - Domestic Private Transfers -urban | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9551] Benefits incidence in extreme poor (<$2.15 a day) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of benefits going to the extreme poor (those below $125 a day)  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9552] Benefits incidence in extreme poor (<$2.15 a day) (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of benefits going to the extreme poor (those below $125 a day)  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9553] Benefits incidence in 1st quintile (poorest) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of benefits going to the 1st quintile (poorest)  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9554] Benefits incidence in 1st quintile (poorest) (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of benefits going to the 1st quintile (poorest)  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9555] Benefits incidence in 1st quintile (poorest) (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of benefits going to the 1st quintile (poorest)  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9556] Benefits incidence in 1st quintile (poorest) (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of benefits going to the 1st quintile (poorest)  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9557] Benefits incidence in 2nd quintile (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of benefits going to the second quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9558] Benefits incidence in 2nd quintile (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of benefits going to the second quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
