[158] Renewable energy share in the total final energy consumption | pub=United Nations | desc: Renewable energy share in the total final energy consumption | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG7, target-7.2
[159] Energy intensity measured in terms of primary energy and GDP | pub=United Nations | desc: Energy intensity measured in terms of primary energy and GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG7, target-7.3
[160] International financial flows to developing countries in support of clean energy research and develo | pub=United Nations | desc: International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG7, target-7.a
[161] Installed renewable energy-generating capacity in developing and developed countries (in watts per c | pub=United Nations | desc: Installed renewable energy-generating capacity in developing and developed countries (in watts per capita) | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG7, target-7.b
[162] Proportion of informal employment in total employment, by sector and sex | pub=United Nations | desc: Proportion of informal employment in total employment, by sector and sex | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.3
[163] Material footprint, material footprint per capita, and material footprint per GDP | pub=United Nations | desc: Material footprint, material footprint per capita, and material footprint per GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.4
[164] Domestic material consumption, domestic material consumption per capita, and domestic material consu | pub=United Nations | desc: Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.4
[165] Average hourly earnings of employees, by sex, age, occupation and persons with disabilities | pub=United Nations | desc: Average hourly earnings of employees, by sex, age, occupation and persons with disabilities | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.5
[166] Unemployment rate, by sex, age and persons with disabilities | pub=United Nations | desc: Unemployment rate, by sex, age and persons with disabilities | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.5
[167] Proportion of youth (aged 15-24 years) not in education, employment or training | pub=United Nations | desc: Proportion of youth (aged 15-24 years) not in education, employment or training | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.6
[168] Proportion and number of children aged 5-17 years engaged in child labour, by sex and age | pub=United Nations | desc: Proportion and number of children aged 5-17 years engaged in child labour, by sex and age | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.7
[169] Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status | pub=United Nations | desc: Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.8
[170] Level of national compliance with labour rights (freedom of association and collective bargaining) b | pub=United Nations | desc: Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.8
[171] Tourism direct GDP as a proportion of total GDP and in growth rate | pub=United Nations | desc: Tourism direct GDP as a proportion of total GDP and in growth rate | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.9
[172] (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machine | pub=United Nations | desc: (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.10
[173] Proportion of adults (15 years and older) with an account at a bank or other financial institution o | pub=United Nations | desc: Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.10
[174] Existence of a developed and operationalized national strategy for youth employment, as a distinct s | pub=United Nations | desc: Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.b
[175] Passenger and freight volumes, by mode of transport | pub=United Nations | desc: Passenger and freight volumes, by mode of transport | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.1
[176] Proportion of the rural population who live within 2 km of an all-season road | pub=United Nations | desc: Proportion of the rural population who live within 2 km of an all-season road | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.1
[177] Manufacturing value added as a proportion of GDP and per capita | pub=United Nations | desc: Manufacturing value added as a proportion of GDP and per capita | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.2
[178] Manufacturing employment as a proportion of total employment | pub=United Nations | desc: Manufacturing employment as a proportion of total employment | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.2
[179] Proportion of small-scale industries in total industry value added, based on (a) international class | pub=United Nations | desc: Proportion of small-scale industries in total industry value added, based on (a) international classification and (b) national classifications | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.3
[180] Proportion of small-scale industries with a loan or line of credit | pub=United Nations | desc: Proportion of small-scale industries with a loan or line of credit | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.3
[181] Research and development expenditure as a proportion of GDP | pub=United Nations | desc: Research and development expenditure as a proportion of GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.5
[182] Researchers (in full-time equivalent) per million inhabitants | pub=United Nations | desc: Researchers (in full-time equivalent) per million inhabitants | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.5
[183] Total official international support (official development assistance plus other official flows) to  | pub=United Nations | desc: Total official international support (official development assistance plus other official flows) to infrastructure | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.a
[184] Proportion of medium and high-tech industry value added in total value added | pub=United Nations | desc: Proportion of medium and high-tech industry value added in total value added | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.b
[185] Proportion of population covered by a mobile network, by technology | pub=United Nations | desc: Proportion of population covered by a mobile network, by technology | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.c
[186] Growth rates of household expenditure or income per capita among the bottom 40 per cent of the popul | pub=United Nations | desc: Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.1
[187] Proportion of people living below 50 per cent of median income, by sex, age and persons with disabil | pub=United Nations | desc: Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.2
[188] Proportion of population reporting having personally felt discriminated against or harassed in the p | pub=United Nations | desc: Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human ri | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.3
[189] Redistributive impact of fiscal policy on the Gini index | pub=United Nations | desc: Redistributive impact of fiscal policy on the Gini index | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.4
[190] Proportion of members and voting rights of developing countries in international organizations | pub=United Nations | desc: Proportion of members and voting rights of developing countries in international organizations | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.6
[191] Proportion of countries with migration policies that facilitate orderly, safe, regular and responsib | pub=United Nations | desc: Proportion of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.7
[192] Number of people who died or disappeared in the process of migration towards an international destin | pub=United Nations | desc: Number of people who died or disappeared in the process of migration towards an international destination | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.7
[193] Proportion of the population who are refugees, by country of origin | pub=United Nations | desc: Proportion of the population who are refugees, by country of origin | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.7
[194] Recruitment cost borne by employee as a proportion of monthly income earned in country of destinatio | pub=United Nations | desc: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.7
[195] Proportion of tariff lines applied to imports from least developed countries and developing countrie | pub=United Nations | desc: Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.a
[196] Total resource flows for development (e.g. official development assistance, foreign direct investmen | pub=United Nations | desc: Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows) | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.b
[197] Remittance costs as a proportion of the amount remitted | pub=United Nations | desc: Remittance costs as a proportion of the amount remitted | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.c
[198] Proportion of urban population living in slums, informal settlements or inadequate housing | pub=United Nations | desc: Proportion of urban population living in slums, informal settlements or inadequate housing | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.1
[199] Proportion of population that has convenient access to public transport, by sex, age and persons wit | pub=United Nations | desc: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.2
