[1869] Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP | pub=WHO | desc: Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1870] Persons initiated chronic hepatitis C(HCV) treatment (number) | pub=WHO | desc: Persons initiated chronic hepatitis C(HCV) treatment (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1871] Substance use disorders service coverage, availability of policy, action plan and legislation | pub=WHO | desc: Substance use disorders service coverage, availability of policy, action plan and legislation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1872] Existence of legislation on access to assistive technology | pub=WHO | desc: Existence of legislation on access to assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1873] Disability-adjusted life years caused by hazards, aged less than 5 years | pub=WHO | desc: Disability-adjusted life years caused by hazards, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1874] Proportion of isolates with resistance to azithromycin reported to WHO-GASP | pub=WHO | desc: Proportion of isolates with resistance to azithromycin reported to WHO-GASP | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1875] Prevalence of chronic hepatitis C (HCV) ) in the general population (%) | pub=WHO | desc: Prevalence of chronic hepatitis C (HCV) ) in the general population (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1876] Prevalence of daily e-cigarette use among adolescents (%) | pub=WHO | desc: Prevalence of daily e-cigarette use among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1877] Presence of dedicated staff for oral health working on NCDs at the MoH | pub=WHO | desc: Presence of dedicated staff for oral health working on NCDs at the MoH | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1878] Ambient air pollution attributable deaths in children under 15 years | pub=WHO | desc: Ambient air pollution attributable deaths in children under 15 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1879] Total population pushed below the $3.65 a day poverty line by household health expenditures (million | pub=WHO | desc: Total population pushed below the $3.65 a day poverty line by household health expenditures (millions, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1880] Total population pushed further below the $3.65 a day poverty line by household health expenditures  | pub=WHO | desc: Total population pushed further below the $3.65 a day poverty line by household health expenditures (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1881] Increase in poverty gap due to household health expenditures, expressed as a proportion of a relativ | pub=WHO | desc: Increase in poverty gap due to household health expenditures, expressed as a proportion of a relative poverty line - 60% of median daily per capita consumption or income (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1882] Prevalence of current tobacco smoking among adults (%) | pub=WHO | desc: Prevalence of current tobacco smoking among adults (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1883] Number of labour days needed to buy annual supply of fluoride toothpaste per person | pub=WHO | desc: Number of labour days needed to buy annual supply of fluoride toothpaste per person | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1884] Existence of national policies on trans-fatty acid elimination | pub=WHO | desc: Existence of national policies on trans-fatty acid elimination | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1885] In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year) | pub=WHO | desc: In-prison COVID-19 mortality rate (per 100 000 incarcerated persons per year) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1886] Households pushed below or further below a relative poverty line (reflecting basic needs: food, hous | pub=WHO | desc: Households pushed below or further below a relative poverty line (reflecting basic needs: food, housing, utilities - developed by WHO/Europe) by out-of-pocket payments (%, national) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1887] Coverage of people in need of assistive technology by legislation | pub=WHO | desc: Coverage of people in need of assistive technology by legislation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1888] Adolescent mortality rate (per 1 000 age specific cohort) | pub=WHO | desc: Adolescent mortality rate (per 1 000 age specific cohort) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1889] Tobacco Warning: W3 anti-tobacco mass-media campaigns | pub=WHO | desc: Tobacco Warning: W3 anti-tobacco mass-media campaigns | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1890] Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, crude (%) | pub=WHO | desc: Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, crude (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1891] Compliance with ban on appearance of tobacco brands in TV and/or films (score) | pub=WHO | desc: Compliance with ban on appearance of tobacco brands in TV and/or films (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1892] Antenatal care coverage - at least one visit (percent) | pub=WHO | desc: Antenatal care coverage - at least one visit (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1893] Age range of latest adult prevalence survey (nonsmoked) | pub=WHO | desc: Age range of latest adult prevalence survey (nonsmoked) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1894] Tobacco Monitor: school-based national surveys, tobacco use, tobacco smoking, and cigarette smoking, | pub=WHO | desc: Tobacco Monitor: school-based national surveys, tobacco use, tobacco smoking, and cigarette smoking, prevalence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1895] Existence of policy promoting physical activity: active ageing | pub=WHO | desc: Existence of policy promoting physical activity: active ageing | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1896] Subnational bans on advertising, promotion and sponsorship - at least one jurisdiction has a compreh | pub=WHO | desc: Subnational bans on advertising, promotion and sponsorship - at least one jurisdiction has a comprehensive ban in place | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1897] Foodborne years lived with disability per 100 000, all ages | pub=WHO | desc: Foodborne years lived with disability per 100 000, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1898] Implementation of a nutrition public awareness program | pub=WHO | desc: Implementation of a nutrition public awareness program | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1899] The number of people with susceptibility test result for rifampicin among bacteriologically confirme | pub=WHO | desc: The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients expressed as percentage. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
