[2161] Subnational smoking bans - at least one jurisdiction has a comprehensive ban in place | pub=WHO | desc: Subnational smoking bans - at least one jurisdiction has a comprehensive ban in place | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2162] People living with HIV who inject drugs, treated for chronic hepatitis C infection (percent) | pub=WHO | desc: People living with HIV who inject drugs, treated for chronic hepatitis C infection (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2163] Foodborne disability-adjusted life years per case, all ages | pub=WHO | desc: Foodborne disability-adjusted life years per case, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2164] Foodborne deaths per 100 000, aged 5 years and above | pub=WHO | desc: Foodborne deaths per 100 000, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2165] Cheapest brand of cigarettes - price in US$ at official exchange rates | pub=WHO | desc: Cheapest brand of cigarettes - price in US$ at official exchange rates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2166] Malaria ITN use: Population in malaria-endemic areas who slept under an insecticide-treated bed net  | pub=WHO | desc: Malaria ITN use: Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2167] Number of malaria cases treated with any first  line tx courses (including artemisinin-based combina | pub=WHO | desc: Number of malaria cases treated with any first  line tx courses (including artemisinin-based combination therapies (ACTs)) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2168] Mean hemoglobin level of women of reproductive age (aged 15-49 years) | pub=WHO | desc: Mean hemoglobin level of women of reproductive age (aged 15-49 years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2169] Compliance with smoke-free public transport law (score) | pub=WHO | desc: Compliance with smoke-free public transport law (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2170] Existence of tax incentives to promote physical activity | pub=WHO | desc: Existence of tax incentives to promote physical activity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
