[1658] Years lived with disability caused by hazards, all ages | pub=WHO | desc: Years lived with disability caused by hazards, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1659] Substance use disorders service coverage, specialized treatment services | pub=WHO | desc: Substance use disorders service coverage, specialized treatment services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1660] Oral health care services generally available in primary health care facilities | pub=WHO | desc: Oral health care services generally available in primary health care facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1661] Introduction of solid, semi-solid or soft foods 6-8 months | pub=WHO | desc: Introduction of solid, semi-solid or soft foods 6-8 months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1662] Incident cases of chlamydia in individuals (in thousands) | pub=WHO | desc: Incident cases of chlamydia in individuals (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1663] Hypertension among adults aged 30-79 years, prevalence, age-standardized | pub=WHO | desc: Hypertension among adults aged 30-79 years, prevalence, age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1664] Substance use disorders service coverage, non-structured services progress | pub=WHO | desc: Substance use disorders service coverage, non-structured services progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1665] Proportion of ever-partnered women and girls aged 15 years or older subjected to physical and/or sex | pub=WHO | desc: Proportion of ever-partnered women and girls aged 15 years or older subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1666] Alcohol-attributable DALYs lost from all causes (all ages), (number) | pub=WHO | desc: Alcohol-attributable DALYs lost from all causes (all ages), (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1667] Existence of national guidelines for physical activity for children and adolescents aged 5-19 | pub=WHO | desc: Existence of national guidelines for physical activity for children and adolescents aged 5-19 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1668] Years lived with disability caused by hazards, aged less than 5 years | pub=WHO | desc: Years lived with disability caused by hazards, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1669] Foodborne illnesses per 100 000, aged 5 years and above | pub=WHO | desc: Foodborne illnesses per 100 000, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1670] Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefixime reported to WH | pub=WHO | desc: Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefixime reported to WHO-GASP | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1671] People living with HIV treated for chronic hepatitis C infection (percent) | pub=WHO | desc: People living with HIV treated for chronic hepatitis C infection (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1672] Substance use disorders service coverage, financing progress | pub=WHO | desc: Substance use disorders service coverage, financing progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1673] Ban on Corporate Social Responsibility activities (CSR) | pub=WHO | desc: Ban on Corporate Social Responsibility activities (CSR) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1674] Policy, Legal and normative Instruments to implement IHR | pub=WHO | desc: Policy, Legal and normative Instruments to implement IHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1675] Mortality rate among children ages 5 to 9 years (per 1000 children aged 5) | pub=WHO | desc: Mortality rate among children ages 5 to 9 years (per 1000 children aged 5) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1676] Total population pushed further below the $3.65 a day poverty line by household health expenditures  | pub=WHO | desc: Total population pushed further below the $3.65 a day poverty line by household health expenditures (millions, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1677] Number of people notified with new episode of TB in a given year | pub=WHO | desc: Number of people notified with new episode of TB in a given year | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1678] Tobacco Raise taxes: Inflation-adjusted prices for most sold brand of cigarettes | pub=WHO | desc: Tobacco Raise taxes: Inflation-adjusted prices for most sold brand of cigarettes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1679] Substance use disorders service coverage, national guidelines | pub=WHO | desc: Substance use disorders service coverage, national guidelines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1680] Alcohol-related cardiomyopathy deaths (% of all cardiomyopathy deaths) | pub=WHO | desc: Alcohol-related cardiomyopathy deaths (% of all cardiomyopathy deaths) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1681] Disability-adjusted life years caused by hazards, all ages | pub=WHO | desc: Disability-adjusted life years caused by hazards, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1682] Prevalence of bacteriologically-confirmed pulmonary TB among those aged ≥15 years, per 100,000 popul | pub=WHO | desc: Prevalence of bacteriologically-confirmed pulmonary TB among those aged ≥15 years, per 100,000 population by sex. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1683] Compliance with ban on free distribution in mail or through other means (score) | pub=WHO | desc: Compliance with ban on free distribution in mail or through other means (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1684] Prevalence of daily tobacco smoking among adolescents (%) | pub=WHO | desc: Prevalence of daily tobacco smoking among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1685] Inflation-adjusted prices for most sold brand of cigarettes: Prices in purchasing power parity adjus | pub=WHO | desc: Inflation-adjusted prices for most sold brand of cigarettes: Prices in purchasing power parity adjusted by year on year changes in average consumer prices in the United States of America | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1686] Hepatitis, deaths caused by chronic hepatitis B and C (per 100 000 population) | pub=WHO | desc: Hepatitis, deaths caused by chronic hepatitis B and C (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
