[621] WLPT-II Scores by District_2011 | pub=WA State (data.wa.gov) | cols: PercentNoScore, PercentTransitioned, PreviouslyTransitioned, SchoolYear, PercentLevel1, TotalTransitioned, TotalTested, ESD, Level3, County | tags: student, k-12, ospi, 2011, assessment, district
[668] WELPA Scores by School_2012 | pub=WA State (data.wa.gov) | cols: TotalTransitioned, TotalTested, TotalTestedNotTested, District, CountyDistrictNumber, ESD, PercentLevel1, PreviouslyTransitioned, GradeLevel, PercentTransitioned | tags: reportcard, school, student, 2012, assessment, k-12
[669] MSP-HSPE Scores by District_2014 | pub=WA State (data.wa.gov) | cols: ReadingPercentMetStandardIncludingPrevPass, MathLevelIndex, ScienceWAASPORT, SciencePercentMetStandardWithoutPrevPass, ScienceTotalMSP_HSPETested, ScienceTotalTestedNotTested, WritingExcusedAbsence, WritingPercentLevel4, WritingLevel4, WritingLevel3 | tags: k-12, assessment, student, 2014, reportcard, district
[670] WASL Scores by School_2006 | pub=WA State (data.wa.gov) | cols: MathPercentLevel4, ReadingLevel4, ReadingLevelBasic, ReadingLevel1, ReadingMetStandardIncludingPrevPass, BuildingNumber, CountyDistrictNumber, ScienceWAASPORT, WritingPercentMetStandardExcludingNoScore, MathWAASPORT | tags: 2006, assessment, k-12, ospi, reportcard, school
[671] ELPA21 State_2016 | pub=WA State (data.wa.gov) | cols: percentNoScore, countTotalTested_and_NotTested, GradeLevel, PercentEmerging, countNoScore, StudentGroup, PercentProgressing, suppressReason, Progressing, TotalProficient | tags: assessment, ospi, reportcard, state, student, k-12
[672] School MSP-HSPE Scores by Subgroup_2012 | pub=WA State (data.wa.gov) | cols: WritingTotalTestedNotTested, ScienceExempted, SciencePercentLevel4, SciencePercentLevel1, ScienceTotalMSP_HSPETested, WritingPercentNoScore, WritingPercentLevel2, WritingLevel2, WritingPercentLevel1, WritingPercentMetStandardWithoutPrevPass | tags: student, assessment, k-12, 2012, ospi, school
[673] AYP Data by School - participation-other indicator_2008 | pub=WA State (data.wa.gov) | cols: AsianMathParticipation, MetAYP_HispanicMathParticipation, MetAYP_BlackMathParticipation, DistrictCode, AsianReadParticipation, District, ALLReadParticipation, WhiteReadParticipation, MetAYP_SplEdReadParticipation, SplEdReadParticipation | tags: k-12, ospi, reportcard, school, student, accountability
[674] District WASL Scores by Subgroup_2002 | pub=WA State (data.wa.gov) | cols: ScienceWAASPORT, SciencePercentLevelBasic, MathWAASPORT, ScienceNotMet, SciencePercentMetStandardWithoutPrevPass, MathWAASDAPE, ReadingLevelBasic, ReadingExempted, SciencePercentLevel1, WritingWAASDAPE | tags: ospi, 2002, assessment, district, k-12, reportcard
[675] Demographic Information by School_2008 | pub=WA State (data.wa.gov) | cols: CountyNumber, SchoolYear, SchoolTypeCode, TotalEnrollment, PercentWhite, StudentsPerClassroomTeacher, PercentAsian, PercentAmericanIndianorAlaskanNative, GradeSpan, PercentHispanic | tags: 2008, student, ospi, reportcard, school, k-12
[676] State WASL Scores by Subgroup_2007 | pub=WA State (data.wa.gov) | cols: MathLevel3, GradeTested, SciencePercentNotMet, WritingMetStandardIncludingPrevPass, MathNoScore, ReadingExcusedAbsence, ReadingExempted, MathTotalTestedNotTested, MathPercentMetStandardIncludingPrevPass, MathMetStandardWithoutPrevPass | tags: student, state, reportcard, k-12, ospi, 2007
[677] MSP-HSPE Scores by District_2012 | pub=WA State (data.wa.gov) | cols: MathMetStandardWithoutPrevPass, WritingTotalTestedNotTested, WritingPercentMetStandardExcludingNoScore, ReadingPercentLevel4, ReadingLevel2, ReadingPercentNotMet, ReadingLevel1, MathLevel2, ReadingPercentLevel2, ScienceMetStandardWithoutPrevPass | tags: 2012, assessment, district, k-12, ospi, reportcard
[678] District WASL Scores by Subgroup_2008 | pub=WA State (data.wa.gov) | cols: ReadingTotalTestedNotTested, MathExempted, SubGroup, ReadingNoScore, ScienceWAASDAPE, ReadingWAASDAPE, SchoolYear, MathWAASDAPE, SciencePercentMetStandardIncludingPrevPass, ReadingPercentMetStandardExcludingNoScore | tags: 2008, k-12, district, assessment, reportcard, student
[679] CTE Perkins Data by State_2017 | pub=WA State (data.wa.gov) | cols: Number of Students in the Numerator, Performance Indicator Number, Subgroup, Number of Students in the Denominator, Performance Indicator Name, State, SchoolYear | tags: student, k-12, state, reportcard, ospi, cte
[680] WASL Scores by School_2003 | pub=WA State (data.wa.gov) | cols: WritingPercentNoScore, ESD, WritingPercentLevel4, MathExempted, MathPercentLevel4, SciencePercentLevelBasic, ReadingExempted, MathLevelIndex, ReadingLevelIndex, ScienceNoScore | tags: school, student, ospi, k-12, 2003, assessment
[681] School WASL Scores by Subgroup_2004 | pub=WA State (data.wa.gov) | cols: ReadingPercentNoScore, SciencePercentMetStandardExcludingNoScore, WritingNotMet, WritingPercentLevelBasic, WritingLevel2, MathLevel4, MathLevel1, ReadingPercentNotMet, ReadingPercentLevel3, ReadingPercentLevel1 | tags: ospi, 2004, assessment, k-12, student, school
[682] WaKIDS Scores by District_2014 | pub=WA State (data.wa.gov) | cols: LiteracyBirthtoTwoYearOlds, Math3YearOlds, Math4YearOlds, Math5YearOlds, CognitiveMet, LiteracyMet, MathMet, NumberMet0Domains, NumberMet3Domains, NumberMet4Domains | tags: k-12, 2014, assessment, student, reportcard, ospi
[683] District WLPT-II scores by Subgroup_2011 | pub=WA State (data.wa.gov) | cols: County, CountyDistrictNumber, District, Subgroup, TotalTested, PercentLevel1, PercentTransitioned, Level3, PercentLevel3, Level2 | tags: reportcard, student, ospi, k-12, district, assessment
[684] Demographic Information by District_2008 | pub=WA State (data.wa.gov) | cols: PercentMales, PercentHispanic, AvgYearsEducationalExperience, PercentTeachersWithAtLeastMasterDegree, PercentWhite, PercentFemales, PercentFreeorReducedPricedMeals, StudentsPerClassroomTeacher, PercentTransitionalBilingual, PercentMigrant | tags: k-12, enrollment, district, reportcard, student, ospi
[685] WASL Scores by District_2004 | pub=WA State (data.wa.gov) | cols: County, CountyDistrictNumber, SciencePercentMetStandardWithoutPrevPass, SciencePercentLevel3, ScienceLevel2, ESD, MathPercentMetStandardIncludingPrevPass, MathPercentMetStandardWithoutPrevPass, WritingTotalMSP_HSPETested, SciencePercentNotMet | tags: assessment, ospi, district, k-12, reportcard, student
[686] Demographic Information by District_2014 | pub=WA State (data.wa.gov) | cols: NumberFemales, PercentFemales, NumberMigrant, PercentMigrant, NumberSpecialEducation, NumberTransitionalBilingual, PercentTransitionalBilingual, PercentSection504, NumberWhite, NumberTwoOrMoreRaces | tags: reportcard, student, district, 2014, enrollment, k-12
[687] District WASL Scores by Subgroup_2006 | pub=WA State (data.wa.gov) | cols: WritingPercentNotMet, SciencePercentLevelBasic, ScienceMetStandardIncludingPrevPass, ScienceTotalTestedNotTested, WritingNotMet, WritingNoScore, WritingLevelBasic, MathNotMet, MathPercentLevelBasic, MathPercentLevel2 | tags: k-12, 2006, assessment, district, ospi, reportcard
[689] Demographic Information by District_2013 | pub=WA State (data.wa.gov) | cols: ESD, PercentAmericanIndianorAlaskanNative, District, CountyNumber, NumberFosterCare, PercentSection504, PercentMales, PercentBlack, PercentPacificIslander, County | tags: 2013, k-12, enrollment, district, student, reportcard
[690] MSP-HSPE Scores by State_2010 | pub=WA State (data.wa.gov) | cols: MathPercentLevel2, GradeTested, ReadingWAASPORT, ScienceWAASDAPE, MathTotalMSP_HSPETested, WritingNoScore, MathLevelBasic, WritingPercentLevel3, WritingPercentLevel4, ScienceLevel2 | tags: 2010, assessment, k-12, ospi, reportcard, state
[691] WELPA Scores by District_2014 | pub=WA State (data.wa.gov) | cols: SchoolYear, CountyNumber, GradeLevel, Level3, PercentLevel2, CountyDistrictNumber, suppressReason, PercentLevel3, suppressed, ESD | tags: k-12, student, reportcard, ospi, district, assessment
[692] CTE Demographic Data by State_2017 | pub=WA State (data.wa.gov) | cols: Number of Secondary CTE Tech Prep Concentrators, State, Number of Secondary Students, SchoolYear, Number of Secondary CTE Concentrators, Subgroup, Number of Secondary Tech Prep Students | tags: reportcard, ospi, k-12, 2017, cte, student
[693] WASL Scores by State_2006 | pub=WA State (data.wa.gov) | cols: ReadingMetStandardWithoutPrevPass, WritingLevel1, WritingPercentLevel4, WritingNotMet, WritingPercentNoScore, ReadingLevel4, MathLevel2, WritingMetStandardIncludingPrevPass, WritingExempted, ScienceLevelBasic | tags: k-12, 2006, assessment, ospi, reportcard, state
[694] Demographic Information by School_2006 | pub=WA State (data.wa.gov) | cols: PercentAmericanIndianorAlaskanNative, PercentBlack, PercentFemales, AvgYearsEducationalExperience, ESD, CountyDistrictNumber, GradeSpan, PercentWhite, FreeorReducedPricedMeals, PercentTeachersWithAtLeastMasterDegree | tags: ospi, reportcard, school, student, 2006, enrollment
[695] ESA Compliance Harvest (WDFW) | pub=WA Fish & Wildlife | cols: Percent, Tooltip, ESA limits, ESU
[696] AYP Data by District - overall_2003 | pub=WA State (data.wa.gov) | cols: DistrictCode, Step, SchoolYear, ESD, MetAYP, DistrictName | tags: reportcard, k-12, student, ospi, district, accountability
[697] Dual Credit Data by District_2015 | pub=WA State (data.wa.gov) | cols: At Least One Option, Cambridge, Running Start, College in High School, Tech Prep, Grades 9-12 Total Students, OrganizationCode, OrganizationName, Subgroup, schoolYear | tags: district, ospi, 2015, dual credit, student, reportcard
[698] Dual Credit Data by School_2014 | pub=WA State (data.wa.gov) | cols: schoolYear, Grades 9-12 Total Students, Tech Prep, ParentCode, OrganizationCode, At Least One Option, College in High School, Advanced Placement, ParentOrganization, OrganizationName | tags: k-12, school, ospi, 2014, reportcard, dual credit
[699] MSP-HSPE Scores by State_2012 | pub=WA State (data.wa.gov) | cols: ScienceNoScore, WritingLevel4, MathPercentLevelBasic, SciencePercentLevel4, MathLevel2, WritingPercentLevel4, WritingPercentMetStandardIncludingPrevPass, ScienceLevel4, MathMetStandardIncludingPrevPass, ReadingLevelBasic | tags: k-12, student, state, reportcard, ospi, assessment
[700] State WASL Scores by Subgroup_2008 | pub=WA State (data.wa.gov) | cols: MathLevelIndex, SciencePercentLevel3, ScienceLevel3, ScienceMetStandardWithoutPrevPass, ScienceExcusedAbsence, SciencePercentMetStandardIncludingPrevPass, ScienceTotalMSP_HSPETested, WritingPercentNoScore, ReadingPercentNoScore, ReadingPercentNotMet | tags: 2008, ospi, assessment, student, state, reportcard
[701] CTE Demographic Data by State_2010 | pub=WA State (data.wa.gov) | cols: Subgroup, Number of Secondary CTE Concentrators, SchoolYear, State, Number of Secondary CTE Tech Prep Concentrators, Number of Secondary Students, Number of Secondary Tech Prep Students | tags: reportcard, student, state, ospi, k-12, cte
[702] School WASL Scores by Subgroup_2005 | pub=WA State (data.wa.gov) | cols: School, SchoolYear, ReadingLevelIndex, ScienceNotMet, ScienceNoScore, SciencePercentLevel4, SciencePercentLevel2, ScienceLevel2, ScienceMetStandardIncludingPrevPass, WritingPercentNotMet | tags: k-12, ospi, 2005, assessment, district, reportcard
[703] State MSP-HSPE Scores by Subgroup_2010 | pub=WA State (data.wa.gov) | cols: ScienceLevel2, ScienceLevelBasic, SciencePercentLevelBasic, SciencePercentLevel3, SciencePercentLevel4, SciencePercentNoScore, ScienceNotMet, ScienceExempted, ScienceExcusedAbsence, ReadingLevelIndex | tags: ospi, 2010, assessment, k-12, reportcard, state
[704] AMO Data by District - overall_2012 | pub=WA State (data.wa.gov) | cols: ReadingTargetProficiency, MathMetProficiency, District, ESD, MathProficiency, ReadingProficiency, MathMetParticipation, MathTargetProficiency, DistrictCode, county | tags: k-12, ospi, reportcard, student, 2012, accountability
[705] CTE Course Enrollment by District - cluster areas_2009 | pub=WA State (data.wa.gov) | cols: County, Cluster Area Name, Cluster Area Number, Subgroup, District, CountyDistrictNumber, Participant Counts, SchoolYear, ESD, Participant Counts1 | tags: k-12, ospi, reportcard, student, district, cte
[706] AMO Data by School - overall_2013 | pub=WA State (data.wa.gov) | cols: ReadingProficiency, MathMetProficiency, District, schoolCode, ReadingTargetProficiency, Subgroup, schoolYear, Title I, ESD, county | tags: student, school, reportcard, ospi, k-12, accountability
[707] Demographic Information by District_2004 | pub=WA State (data.wa.gov) | cols: CountyNumber, ESD, PercentAmericanIndianorAlaskanNative, PercentTeachersWithAtLeastMasterDegree, PercentTransitionalBilingual, PercentMales, PercentHispanic, PercentBlack, District, PercentWhite | tags: enrollment, reportcard, student, district, 2004, ospi
[708] Demographic Information by School_2002 | pub=WA State (data.wa.gov) | cols: PcntWhite, TotalEnrollment, PcntAsian, CountyNumber, SchoolYear, PcntMale, PcntBlack, County, District, School | tags: student, ospi, reportcard, k-12, enrollment, school
[709] WASL Scores by School_2004 | pub=WA State (data.wa.gov) | cols: SciencePercentMetStandardExcludingNoScore, ReadingExcusedAbsence, ReadingWAASDAPE, MathLevelBasic, ScienceExempted, MathTotalMSP_HSPETested, WritingLevelBasic, SchoolYear, CountyNumber, MathExempted | tags: 2004, student, school, reportcard, ospi, k-12
[710] AYP Data by District - overall_2007 | pub=WA State (data.wa.gov) | cols: DistrictCode, MetAYP, Step, SchoolYear, ESD, DistrictName | tags: reportcard, accountability, district, k-12, ospi, 2007
[711] AYP Data by District - summary_2015 | pub=WA State (data.wa.gov) | cols: MetAYP_TwoOrMoreRacesReading, MetAYP_LowIncomeReadingParticipation, MetAYP_PacificIslanderReadingParticipation, MetAYP_SplEdMath, MetAYP_PacificIslanderMath, MetAYP_AmericanIndReading, MetAYP_WhiteMath, MetAYP_SplEdReadingParticipation, MetAYP_BlackMath, MetAYP_TwoOrMoreRacesMathParticipation | tags: reportcard, accountability, 2015, k-12, student, ospi
[712] WLPT-II Scores by School_2011 | pub=WA State (data.wa.gov) | cols: Level2, PercentNoScore, PercentLevel1, PercentLevel3, Level3, TotalTransitioned, TotalTested, GradeLevel, School, BuildingNumber | tags: k-12, assessment, ospi, reportcard, school, student
[713] WaKIDS Scores by School_2018 | pub=WA State (data.wa.gov) | cols: SocialEmotionalTotal, LiteracyTotal, NumberMet3Domains, Language4YearOlds, ESDOrganizationName, SchoolCode, PhysicalBirthtoTwoYearOlds, MathBirthtoTwoYearOlds, MathTotal, MathMet | tags: 2018, assessment, k-12, ospi, reportcard, school
